0,-73.9603796,40.7755735
1,-73.9286408,40.8511764
2,-73.9680288,40.7728065
3,-73.9523942,40.7982104
4,-74.0150062,40.7047334
5,-73.932761,40.856503
6,-73.9276854,40.852484
7,-74.0015481,40.7096039
8,-73.9267875,40.8537128
9,-73.9980743,40.7137811
10,-73.919497,40.8681842
11,-73.9620178,40.8104995
12,-73.9326052,40.864219
13,-73.9939823,40.7203048
14,-73.9941321,40.7200948
15,-73.9919574,40.7098057
16,-73.9763914,40.7190791
17,-73.9669669,40.8075928
18,-73.9664877,40.8082136
19,-73.9463469,40.7948049
20,-73.9607012,40.7782718
21,-73.9755366,40.7165045
22,-74.0020192,40.7082119
23,-73.980853,40.713555
24,-73.984837,40.724269
25,-73.9748707,40.7342008
26,-73.9496273,40.7903105
27,-74.0106787,40.7298427
28,-73.9912602,40.7238048
29,-73.9272272,40.8531111
30,-73.9909044,40.7241854
31,-73.9690294,40.7471968
32,-73.9908277,40.7242892
33,-73.9903725,40.7248927
34,-73.989429,40.726188
35,-73.988984,40.726792
36,-73.988539,40.727402
37,-73.987239,40.729192
38,-74.0135064,40.7069636
39,-73.9465505,40.7890027
40,-73.9863742,40.7303818
41,-74.0084008,40.7143685
42,-73.9531692,40.8226181
43,-74.0139447,40.7071446
44,-73.985909,40.731019
45,-73.9671143,40.7985006
46,-73.9835474,40.7342632
47,-73.9514862,40.8044964
48,-73.9435744,40.845963
49,-73.9826949,40.7354311
50,-74.0030836,40.7278344
51,-73.9741568,40.72445
52,-73.9745044,40.7245958
53,-73.9809087,40.7378801
54,-73.9799917,40.7391764
55,-73.9446883,40.7833095
56,-73.9440281,40.7830342
57,-73.9447671,40.7832021
58,-73.9441106,40.7829186
59,-73.9786353,40.7410343
60,-73.9777264,40.7422757
61,-73.936691,40.837193
62,-73.977291,40.742887
63,-73.9768109,40.7435252
64,-73.9763707,40.7441069
65,-73.9309931,40.8646389
66,-73.9692867,40.8036293
67,-73.9744848,40.7466699
68,-73.9400971,40.8203745
69,-73.9383539,40.8378835
70,-73.9937276,40.7209367
71,-73.974044,40.747296
72,-73.973591,40.7479204
73,-73.972473,40.7427908
74,-73.9731443,40.7485336
75,-73.9722049,40.7498286
76,-73.971713,40.750494
77,-73.929954,40.8625988
78,-73.971263,40.751122
79,-73.970804,40.751748
80,-73.9699017,40.7529834
81,-73.969431,40.753624
82,-73.96852,40.754877
83,-73.9676094,40.7561287
84,-73.966702,40.757381
85,-73.9662316,40.7580217
86,-73.9657784,40.7586402
87,-73.9647969,40.7599903
88,-73.9629826,40.7624978
89,-74.0018952,40.7082735
90,-73.9314679,40.8639056
91,-73.9456947,40.7961817
92,-73.9820559,40.772181
93,-74.0121348,40.7089925
94,-73.9616082,40.7643653
95,-73.9611475,40.7649877
96,-73.9876103,40.7704128
97,-73.9980915,40.7590428
98,-73.9877451,40.7440672
99,-73.993813,40.746618
100,-73.959779,40.7668653
101,-74.0164164,40.7048817
102,-73.9966452,40.7478218
103,-73.957829,40.815156
104,-73.9588646,40.7681151
105,-74.0023198,40.7502203
106,-73.9461966,40.7729828
107,-74.0075669,40.7523939
108,-73.9564729,40.7713964
109,-73.9755223,40.7750812
110,-73.9560108,40.7720257
111,-73.983319,40.711342
112,-73.955044,40.7733383
113,-73.9540995,40.7746458
114,-73.9760046,40.7914402
115,-74.0059661,40.7203782
116,-73.9531654,40.7759238
117,-73.932043,40.857841
118,-74.0064195,40.7204244
119,-74.006055,40.7244231
120,-73.9522412,40.7771924
121,-73.94014,40.827039
122,-73.951248,40.778551
123,-73.9507943,40.7791759
124,-74.001017,40.7074385
125,-73.9498809,40.7804348
126,-73.974138,40.738185
127,-73.949421,40.7810592
128,-74.0056591,40.7200755
129,-73.9489676,40.78168
130,-73.9370217,40.8341669
131,-73.9485053,40.7823112
132,-73.9480373,40.7829443
133,-73.9470777,40.784269
134,-73.9927507,40.7138471
135,-73.9465687,40.7849805
136,-73.93969,40.827657
137,-73.9456962,40.7861697
138,-73.94523,40.786809
139,-73.932407,40.804428
140,-74.0100069,40.7207656
141,-73.9429284,40.7899429
142,-73.936857,40.847249
143,-73.9424329,40.7906269
144,-73.9410247,40.79256
145,-73.9357324,40.8276159
146,-73.939248,40.828296
147,-74.0149206,40.7072065
148,-73.9396282,40.7944694
149,-74.011576,40.7040261
150,-73.939189,40.795072
151,-73.9377884,40.7970131
152,-73.9491633,40.7909454
153,-73.946522,40.819006
154,-73.9372797,40.7976795
